,model_type,iteration,alignment_edit_distance_rate,phoneme_l1_distance
31,flowtron_baseline,0,99.73883198361908,15.266011639407488
120,flowtron_baseline,2000,98.7561901768395,16.408790152402197
72,flowtron_baseline,4000,86.99326942377974,9.006484754632863
81,flowtron_baseline,6000,92.61160763601062,14.243645238729142
34,flowtron_baseline,8000,85.06407829053396,11.300964321187985
2,flowtron_baseline,10000,85.68615041277346,10.76075749760952
23,flowtron_baseline,12000,82.8548346154953,9.350649165814877
46,flowtron_baseline,14000,79.97984475966506,8.397798572685051
54,flowtron_baseline,16000,79.45510212372974,7.976756476199281
66,flowtron_baseline,18000,75.9633129319604,6.516338642404823
89,flowtron_baseline,20000,79.55977857900571,7.586320631973559
75,flowtron_baseline,22000,78.28583114072826,7.527444684471487
113,flowtron_baseline,24000,78.12122931621532,6.874474257363463
97,flowtron_baseline,26000,77.74463026145345,7.217745390346051
14,flowtron_baseline,28000,77.7325869203588,7.107350247860653
100,flowtron_baseline,30000,78.0652308136541,6.541575409986357
121,flowtron_baseline,32000,80.94350363421415,8.203322102277173
71,flowtron_baseline,34000,82.9441792965113,8.28980255458826
80,flowtron_baseline,36000,80.4699487566881,7.652126116905577
35,flowtron_baseline,38000,76.18447242092019,6.5947072717802575
53,flowtron_baseline,40000,78.8331599123794,7.399798837783072
38,flowtron_baseline,42000,81.93803671298771,8.002016606657124
24,flowtron_baseline,44000,77.7558235170255,6.846465426626833
11,flowtron_baseline,46000,78.78580930467331,6.630175900713249
106,flowtron_baseline,48000,74.82046746973857,6.957874526998173
3,flowtron_baseline,50000,76.65610782744191,6.735227080871321
22,flowtron_baseline,52000,77.213839065965,6.739774449832007
45,flowtron_baseline,54000,76.71931205412986,6.9078335972183735
55,flowtron_baseline,56000,79.35944640606169,6.676129446583598
65,flowtron_baseline,58000,78.69127144586955,7.239513568349257
91,flowtron_baseline,60000,77.0485318216748,7.137390778389122
73,flowtron_baseline,62000,77.66170906929786,7.4488411221224915
112,flowtron_baseline,64000,78.12076717738596,6.858707128255564
98,flowtron_baseline,66000,75.99178190665019,6.946773477298632
13,flowtron_baseline,68000,78.06946329347642,7.193505125495137
101,flowtron_baseline,70000,78.78354837413582,7.243436383987486
119,flowtron_baseline,72000,76.10394826067336,6.442982632651642
69,flowtron_baseline,74000,79.40953568254209,6.691282166916372
