,model_type,iteration,alignment_edit_distance_rate,phoneme_l1_distance
27,tacotron_base,0,98.26808327157298,19.023292829699326
12,tacotron_base,1000,91.14224550936096,13.930217270422027
15,tacotron_base,2000,87.87381728287252,11.491243222310256
9,tacotron_base,3000,87.632378303112,11.021483446831937
28,tacotron_base,4000,83.84491726023886,8.387325291891207
4,tacotron_base,5000,83.53104457612142,8.097207537002468
23,tacotron_base,6000,83.02695994997484,10.205207762474501
1,tacotron_base,7000,80.10599752326638,7.961171221286629
5,tacotron_base,8000,76.1026795680253,5.580241654563826
25,tacotron_base,9000,78.05512225083831,6.292527296531303
16,tacotron_base,10000,74.29307793435422,5.130436732526233
8,tacotron_base,11000,76.91671528142473,5.315224917972427
19,tacotron_base,12000,76.15506954996813,5.068987945095845
11,tacotron_base,13000,75.44656745539258,5.146020429253027
21,tacotron_base,14000,77.53375713287683,5.2777119179655045
2,tacotron_base,15000,75.0610094471801,4.8103003606397605
26,tacotron_base,16000,76.67929838148181,5.128525262303248
6,tacotron_base,17000,74.22098603963715,4.447524384768912
0,tacotron_base,18000,83.14018223546887,9.357620489737636
22,tacotron_base,19000,80.8839114345136,7.68633775352261
7,tacotron_base,20000,70.31497919535339,4.092414955469269
24,tacotron_base,21000,71.39153065292234,3.785959369900416
3,tacotron_base,22000,72.81975127259514,4.331016339346137
20,tacotron_base,23000,73.89144000637415,4.388966508586806
13,tacotron_base,24000,72.08174453880731,3.92571595935023
17,tacotron_base,25000,71.62533856193343,3.7666783863516096
10,tacotron_base,26000,71.88380822849187,3.719396202652458
14,tacotron_base,27000,73.56591860410717,4.044543778522668
18,tacotron_base,28000,71.95082679662804,3.6149838583279292
