,model_type,iteration,alignment_edit_distance_rate,phoneme_l1_distance
44,tacotron_ctc,0,98.26808327157298,19.023292829699326
54,tacotron_ctc,1000,91.14224550936096,13.930217270422027
32,tacotron_ctc,2000,87.87381728287252,11.491243222310256
37,tacotron_ctc,4000,77.62371399680447,5.19161760729597
45,tacotron_ctc,5000,71.29873593304862,4.097121498440678
40,tacotron_ctc,6000,71.54417624003386,4.183867729600972
50,tacotron_ctc,7000,71.05520985443702,4.00506835886548
46,tacotron_ctc,8000,71.27073413845031,4.113797204661403
36,tacotron_ctc,9000,71.90339534298076,4.019055228951853
34,tacotron_ctc,10000,71.78158591612618,3.999469415917715
55,tacotron_ctc,11000,71.38171412160065,4.093818621160859
31,tacotron_ctc,12000,71.52301011893194,4.007726455089206
52,tacotron_ctc,13000,70.89889353288694,4.110454962911812
42,tacotron_ctc,14000,70.21143923264177,4.102515865359489
48,tacotron_ctc,15000,71.80754013018657,4.058799536161553
38,tacotron_ctc,16000,72.03232263182346,3.9513962868935883
43,tacotron_ctc,17000,71.42351385057421,3.8707340016170755
49,tacotron_ctc,18000,71.68973226643206,4.055557519169932
41,tacotron_ctc,19000,71.69854337534665,4.002286930787117
47,tacotron_ctc,20000,69.47619097716859,3.8933116793572773
35,tacotron_ctc,21000,70.93749971022085,3.9574449195160146
51,tacotron_ctc,22000,71.2558333473678,3.9716391288030604
39,tacotron_ctc,23000,71.39319776073725,3.9356649032105717
53,tacotron_ctc,24000,70.58401810899525,3.9073505328994367
30,tacotron_ctc,25000,71.12119937997016,3.9581429959450922
56,tacotron_ctc,26000,70.91133653713582,4.099773949379489
33,tacotron_ctc,27000,71.32668754686452,3.9826733527927307
29,tacotron_ctc,28000,71.06001865265364,4.009248727131523
