,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames,iteration,model_label
3,3,model_0,48.87661082986477,48.439789916760155,56124,0,with_prior_with_aug
6,6,model_500,47.30954760974878,45.911255561591815,56124,500,with_prior_with_aug
0,0,model_1000,44.41558648814824,42.934652198760425,56124,1000,with_prior_with_aug
7,7,model_1500,40.14111059671008,38.618739739445296,56124,1500,with_prior_with_aug
2,2,model_2000,38.10889160550048,36.45667042039428,56124,2000,with_prior_with_aug
9,9,model_2500,36.09835510973663,34.44811555076112,56124,2500,with_prior_with_aug
1,1,model_3000,34.336450015181796,32.60738119447312,56124,3000,with_prior_with_aug
8,8,model_3500,33.90434026937356,32.151530889828344,56124,3500,with_prior_with_aug
4,4,model_4000,32.69364599998626,30.91917802139236,56124,4000,with_prior_with_aug
5,5,model_4500,32.56124091089074,30.804072958625106,56124,4500,with_prior_with_aug
24,24,model_5000,31.40716374887301,29.555418232079987,56124,5000,with_prior_with_aug
1,1,model_5500,31.09772180260355,29.24282392174837,56124,5500,with_prior_with_aug
28,28,model_6000,31.17070632166695,29.30621352930985,56124,6000,with_prior_with_aug
5,5,model_6500,30.161995012761,28.238157701417446,56124,6500,with_prior_with_aug
27,27,model_7000,30.034573105913573,28.102626892298268,56124,7000,with_prior_with_aug
4,4,model_7500,29.637529400089253,27.676138957938466,56124,7500,with_prior_with_aug
10,10,model_8000,29.429852448889857,27.434850496386126,56124,8000,with_prior_with_aug
18,18,model_8500,29.06879625890012,27.06277858141779,56124,8500,with_prior_with_aug
9,9,model_9000,29.170932522340546,27.154267857902425,56124,9000,with_prior_with_aug
17,17,model_9500,28.732508078896537,26.71505767851902,56124,9500,with_prior_with_aug
22,22,model_10000,28.90734211127072,26.86613631790229,56124,10000,with_prior_with_aug
14,14,model_10500,28.909410182077703,26.84619102919646,56124,10500,with_prior_with_aug
21,21,model_11000,28.909883855078448,26.869393548086492,56124,11000,with_prior_with_aug
13,13,model_11500,28.69921263376823,26.676485504552225,56124,11500,with_prior_with_aug
16,16,model_12000,28.53746926863554,26.478483865456553,56124,12000,with_prior_with_aug
8,8,model_12500,28.395275445415354,26.302835063611496,56124,12500,with_prior_with_aug
19,19,model_13000,28.411913188697945,26.29792490266791,56124,13000,with_prior_with_aug
11,11,model_13500,28.557334273850483,26.43366776537075,56124,13500,with_prior_with_aug
23,23,model_14000,28.44444834578777,26.350079646722175,56124,14000,with_prior_with_aug
0,0,model_14500,28.14334258468796,26.038218586546282,56124,14500,with_prior_with_aug
25,25,model_15000,28.11946588868866,25.988741011328703,56124,15000,with_prior_with_aug
2,2,model_15500,28.057334376163265,25.966305564432464,56124,15500,with_prior_with_aug
29,29,model_16000,27.982543916269226,25.899983723976714,56124,16000,with_prior_with_aug
6,6,model_16500,28.04641217175149,25.9113320200556,56124,16500,with_prior_with_aug
26,26,model_17000,28.22353006381893,26.06940793482749,56124,17000,with_prior_with_aug
3,3,model_17500,28.057404395874194,25.929289942954014,56124,17500,with_prior_with_aug
12,12,model_18000,27.94448532871173,25.778915631782063,56124,18000,with_prior_with_aug
20,20,model_18500,27.76156346968337,25.60406396053391,56124,18500,with_prior_with_aug
7,7,model_19000,27.668687725694337,25.47360814360338,56124,19000,with_prior_with_aug
15,15,model_19500,27.48337077567777,25.499722433307053,56124,19500,with_prior_with_aug
