,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
191,191,500,38.8268218066201,39.6255613753503,25063
124,124,750,33.1667409968536,31.0820715811153,26534
109,109,1000,32.7313494769045,30.4765729349489,26068
175,175,1250,32.6130337811297,30.2277251728345,25333
15,15,1500,31.9716668486693,29.5544115725795,25736
232,232,1750,31.0369323997695,28.6143208469073,26748
63,63,2000,31.2113343111328,28.7873443866833,26407
299,299,2250,31.4545593405883,28.9858034158786,26420
117,117,2500,32.378349528834,29.8364568321929,25422
202,202,2750,32.1088496907389,29.5781381006559,25710
183,183,3000,31.7675283017292,29.2471286044668,26307
96,96,3250,31.6611344334891,29.1781436679291,26642
239,239,3500,31.796662221247,29.2709828749059,26321
5,5,3750,32.1415829181206,29.5981398637346,26350
270,270,4000,32.0769793559156,29.4643154550098,26121
54,54,4250,31.8358794519164,29.2501252034284,26291
208,208,4500,31.5712323368939,29.0010069311725,26394
141,141,4750,31.6367651306771,29.0414743065871,26559
70,70,5000,31.3037533390652,28.5914654589243,26515
284,284,5250,31.8300637838642,29.1636786764711,26266
