,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
285,285,500,44.274043459815,41.9390268681628,21168
75,75,750,38.2738757355544,36.0248564578369,22861
18,18,1000,35.4784898961937,33.1249798918901,24019
233,233,1250,33.5259383910051,31.0994741133224,25260
112,112,1500,32.5569657443366,30.1466679241189,26057
174,174,1750,32.778532962101,30.2942427922709,25226
121,121,2000,32.2144657982721,29.7080488507059,25217
202,202,2250,32.9131140403472,30.2949543568128,25236
64,64,2500,32.1367251724198,29.6102845858598,25210
299,299,2750,31.4193931702791,28.8924367345415,25895
241,241,3000,31.3363409485019,28.7748725068436,26053
8,8,3250,31.3015104949806,28.7399460049172,25774
185,185,3500,31.4998065213533,28.9073842332968,25974
98,98,3750,32.0355684339598,29.4282068355892,25627
209,209,4000,31.3906888990148,28.76023919933,26207
143,143,4250,31.5930892789766,28.9617182251847,25908
268,268,4500,30.7409112615041,29.0325729584515,25678
55,55,4750,31.9346249507561,28.2746419385134,25763
116,116,5000,30.5353987334159,28.8216656158131,26225
200,200,5250,30.9813664596907,28.3676633562396,26081
