,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
17,17,0,158.13633709764852,157.45562220724997,53790
21,21,2000,61.294808382367535,59.602612654381026,53790
11,11,4000,55.37146307389981,53.490383721106774,53790
13,13,6000,62.081932819450046,58.88574418820446,53790
1,1,8000,76.3424995728587,74.07162735196167,53790
6,6,10000,51.30403371572962,49.0364863925762,51582
5,5,12000,49.43348730966356,47.2184562312919,51938
0,0,14000,48.3818291581685,46.07072354498219,50632
4,4,16000,47.18952799192439,44.836722301785336,52134
12,12,18000,46.52956141374909,44.14769262966589,50976
10,10,20000,45.37934878498118,42.974443117911214,51350
14,14,22000,46.15609304957315,43.763243527278156,52052
22,22,24000,45.529937349347655,43.03998435864829,49394
20,20,26000,42.68725569896296,40.196218160864355,51814
7,7,28000,42.547426851932904,40.06100932669221,50820
18,18,30000,42.405303930101255,39.80973875129071,51844
23,23,32000,46.26307324364286,43.89017714292556,52028
16,16,34000,43.96901784721357,41.490021633359795,52064
9,9,36000,42.18305539900858,39.62882486576215,51938
3,3,38000,43.649508226232186,41.19323252552983,52528
19,19,40000,42.4881833163231,39.927801212286965,53318
24,24,42000,46.07351376427693,43.59493449360597,51102
15,15,44000,45.500634962287776,42.890468261779155,49622
8,8,46000,45.53058841564199,43.0184865271922,51466
2,2,48000,43.865147667765214,41.31373931926676,52882
