,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
16,16,0,158.1426093159265,157.4610156371627,53790
11,11,2000,61.30234482540102,59.692012595696056,53790
20,20,4000,55.57560863250599,53.71877800884164,53790
21,21,6000,61.51638148995186,58.299059256241534,53790
3,3,8000,76.17414023561854,73.97228233811559,53790
2,2,10000,50.42579844079373,48.22542006462171,53780
0,0,12000,49.37882943795664,47.177476803899964,52978
4,4,14000,48.16981291582504,45.831923810852224,50734
7,7,16000,46.984467771985905,44.55847799657828,51480
18,18,18000,45.86634611856762,43.3494740290718,51778
19,19,20000,44.17581203860297,41.67974505529399,52456
22,22,22000,43.32827935938967,40.90393024698616,52574
12,12,24000,44.63924172571903,42.134752528285105,52856
10,10,26000,44.06176029551293,41.53114392759613,52328
1,1,28000,45.562588784694654,43.165987722254656,49606
9,9,30000,43.809994941852494,41.20142797120921,51954
14,14,32000,44.153591498135434,41.653693397205465,52652
23,23,34000,43.927321663004605,41.46427686535166,50860
15,15,36000,42.95118577609824,40.418597699687574,51880
5,5,38000,42.6230727793757,40.03173196690092,51700
8,8,40000,43.139029064834034,40.632222367813156,52274
13,13,42000,43.87182264071642,41.277060932866675,52926
24,24,44000,44.797863534570006,42.218780409317525,50226
17,17,46000,47.25282972545909,44.73215857550596,49926
6,6,48000,44.944552264068754,42.489797709303524,51232
