,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
11,11,0,158.1409178272182,157.45968033932664,53790
1,1,2000,61.38583642429897,59.738300455207046,53790
6,6,4000,55.18620580169002,53.290006685211885,53790
5,5,6000,62.14471997516212,59.02410256169221,53790
22,22,8000,59.6605905545419,55.48431541840529,53790
3,3,10000,51.73149964577171,49.54623697764257,53272
0,0,12000,49.97625353394303,47.755599660279465,50988
4,4,14000,48.565950485684006,46.24430910957907,49720
9,9,16000,47.653919418585005,45.2731920610925,52522
19,19,18000,46.79621173963224,44.37924493795693,51564
20,20,20000,45.488425521638526,43.00850213544548,51450
21,21,22000,44.340463865763,41.87180901087631,51158
14,14,24000,46.12561097205988,43.63504622457931,47692
13,13,26000,45.75918178195351,43.336422420961675,52422
2,2,28000,43.15221373920154,40.68247974572439,50974
10,10,30000,44.14478750161268,41.54814539940408,50226
15,15,32000,42.865603954002815,40.32300699657422,51684
24,24,34000,42.16237104113586,39.65898260688381,52560
18,18,36000,41.40495671411238,38.84078323471573,52438
8,8,38000,42.15342281733608,39.5339426788093,52332
12,12,40000,40.77218897511547,38.17566520427711,51556
16,16,42000,41.459656131615965,38.90106258276999,53076
23,23,44000,42.38819423239649,39.71774255956829,53284
17,17,46000,42.721015182052604,40.142197756568365,51668
7,7,48000,42.65516181218733,40.04946271907854,51290
