,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
7,7,1000,473.273240104648,46.90557313265975,10090
3,3,2000,38.6890072938777,37.970281798811,2098
1,1,3000,36.1925263454445,38.3901608537712,2098
14,14,4000,36.01620138300488,33.82342726816725,60652
12,12,5000,35.49245355640276,33.27685912292207,59494
16,16,6000,34.70328549104349,32.49925792313274,59654
18,18,7000,35.817218296715495,33.54944693578697,55520
37,37,8000,35.93091223847865,33.503851335028884,54390
41,41,9000,34.79632126948093,32.48482548493597,55522
19,19,10000,34.84457100925314,32.5392510753398,55196
17,17,11000,34.529907261252504,32.193999218368155,55802
11,11,12000,35.00109328407344,32.645729207151184,55090
13,13,13000,34.74553826405128,32.415147275894796,55514
0,0,14000,34.25782708480324,31.86261386350978,56516
2,2,15000,33.82905237976369,31.38254477228139,55128
8,8,16000,34.87211406718935,32.428993551964105,54830
6,6,17000,35.387301012179606,32.988976964286536,53552
26,26,18000,35.61414839688845,33.238702208030965,55070
23,23,19000,35.080553986808795,32.705516106394874,54568
25,25,20000,34.434920913887865,32.032211648675606,53726
24,24,21000,35.319772879246,32.94957392022404,55468
31,31,22000,35.10630458579702,32.72150013228736,55680
32,32,23000,34.21396906424731,31.82419228235092,55810
43,43,24000,34.95269768379976,32.517043104736516,54958
48,48,25000,35.048549061705124,31.55934981795471,53794
