,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
2,2,0,126.15313500769452,125.67907448574896,100000
18,18,1000,473.273240104648,468.9055731326598,10090
13,13,2000,2453.6890072938777,2437.97028179881,2098
12,12,3000,2524.192526345444,2508.3901608537712,2098
4,4,4000,2497.9085325591386,2482.50279441783,2098
0,0,5000,2491.3941404467355,2476.081379994529,2098
5,5,6000,2472.602688979335,2456.8977762930867,2098
10,10,7000,2517.655544035384,2502.248927323657,2098
23,23,8000,2592.487133844397,2577.2727018451833,2098
28,28,9000,2553.385827807192,2537.919755234646,2098
8,8,10000,2666.002089562499,2651.0144799805466,2098
7,7,11000,2700.625261390352,2685.807374633169,2098
1,1,12000,2730.672505837373,2716.1738889118287,2098
3,3,13000,2776.410381043609,2761.5278172940393,2098
11,11,14000,2747.649774125691,2733.116651928502,2098
14,14,15000,2791.1410084045892,2776.889215876305,2098
19,19,16000,2782.1588206242573,2767.7389766556666,2098
17,17,17000,2774.766092007859,2760.262165713766,2098
41,41,18000,2563.762175001465,2548.098509897773,2098
38,38,19000,2743.6301422402394,2728.7251093185264,2098
40,40,20000,2805.0525036676354,2790.9251335411686,2098
39,39,21000,2788.0793851738813,2773.32413014707,2098
46,46,22000,58982.538918946564,58718.11893887822,100
47,47,23000,58993.86133285874,58730.004933543154,100
30,30,24000,58990.67135661023,58725.50951841468,100
35,35,25000,59407.55286413321,59144.69830456193,100
29,29,26000,2781.718116971827,2767.168409438085,2098
22,22,27000,2751.4294317720532,2737.9106934834026,2098
9,9,28000,3346.586174013377,3329.4215410229986,1730
6,6,29000,59349.09653272263,59086.09504565932,100
25,25,30000,58636.9070981084,58370.685967330166,100
26,26,31000,2755.256425843404,2741.023739029017,2098
34,34,32000,59001.654803259786,58738.39230672,100
31,31,33000,59238.026389406536,58975.8525184977,100
48,48,34000,59332.124428762225,59069.6254805869,100
45,45,35000,59754.722399459286,59494.05104156593,100
36,36,36000,59444.78916412126,59182.8607499272,100
43,43,37000,58750.43220595538,58485.503244479005,100
15,15,38000,59258.49556739541,58996.33282590201,100
21,21,39000,2808.4188868438373,2794.159758825633,2098
24,24,40000,59451.41544308484,59190.14957399451,100
27,27,41000,59305.472025218885,59044.162162165594,100
33,33,42000,59572.46723724352,59312.78089182615,100
32,32,43000,3698.607850792354,3679.929081346826,1574
49,49,44000,2816.312462749085,2801.8280333361463,2098
44,44,45000,59741.91284817106,59482.49874717388,100
37,37,46000,58914.68474661782,58650.793759618624,100
42,42,47000,59249.95395502437,58987.948877554736,100
16,16,48000,59130.9290456068,58868.20990254218,100
20,20,49000,59218.268903865486,58955.903955251175,100
