,Unnamed: 0,model,log_mel_mcd,mel_cepstrum_mcd,total_frames
11,11,1000,41.345128335782384,125.95473112533083,100000
5,5,2000,46.53942548574538,101.15531962468335,85512
2,2,3000,44.2928457135952,97.95920661902481,92286
20,20,4000,45.782812717745905,84.324033309579754,72352
17,17,5000,45.669195821765605,84.78416632538924,97138
25,25,6000,48.05521559974865,66.321617347233975,66752
30,30,7000,47.22232527440049,55.48824454348704,67242
40,40,8000,42.058416066450036,48.23846865875257,65468
47,47,9000,37.68915911798779,40.407330176130856,60578
35,35,10000,38.0056210883764,38.850701316497286,58842
36,36,11000,34.14972648589071,34.619886685302248,56838
39,39,12000,35.49907708271129,34.22968154032988,56932
38,38,13000,34.752016061132394,33.102055054327714,53558
49,49,14000,34.61892563177218,32.988699463565048,52296
48,48,15000,34.24303359708495,32.62544509089881,55018
41,41,16000,34.665557450552484,32.18199882071012,57560
46,46,17000,33.18078023600736,33.67769316147772,57674
23,23,18000,32.97893979314872,33.564654318180427,59058
32,32,19000,34.0576708954615,32.42679751448491,56720
27,27,20000,33.82533196245929,31.257571338507294,54654
28,28,21000,33.62148006400253,31.91974919324531,55996
19,19,22000,34.57477386859777,31.98409767605884,53976
18,18,23000,33.34301026871974,31.724035698115603,56692
7,7,24000,33.920916727978216,31.279776103947054,55762
0,0,25000,33.18527842566347,31.538103072155213,53368
