alpha	pcc	pcc_low	pcc_high	mse	n_phones
0.0000	0.3104	0.3022	0.3185	0.6871	47369
0.0500	0.3169	0.3088	0.3250	0.6538	47369
0.1000	0.3288	0.3207	0.3368	0.6256	47369
0.1500	0.3342	0.3262	0.3422	0.6169	47369
0.2000	0.3361	0.3281	0.3441	0.6147	47369
0.2500	0.3338	0.3258	0.3418	0.6189	47369
0.3000	0.3304	0.3223	0.3384	0.6228	47369
0.3500	0.3261	0.3181	0.3342	0.6280	47369
0.4000	0.3205	0.3124	0.3286	0.6344	47369
0.4500	0.3114	0.3033	0.3196	0.6431	47369
0.5000	0.3022	0.2940	0.3104	0.6507	47369
0.5500	0.2938	0.2855	0.3020	0.6588	47369
0.6000	0.2827	0.2744	0.2909	0.6689	47369
0.6500	0.2741	0.2657	0.2824	0.6758	47369
0.7000	0.2651	0.2567	0.2734	0.6823	47369
0.7500	0.2561	0.2477	0.2645	0.6894	47369
0.8000	0.2486	0.2401	0.2570	0.6974	47369
0.8500	0.2404	0.2319	0.2489	0.7038	47369
0.9000	0.2335	0.2250	0.2420	0.7116	47369
0.9500	0.2278	0.2193	0.2364	0.7182	47369
1.0000	0.2206	0.2120	0.2291	0.7256	47369
