alpha	pcc	pcc_low	pcc_high	mse	n_phones
0.0000	0.3195	0.3113	0.3277	0.6655	46314
0.0500	0.3269	0.3187	0.3350	0.6503	46314
0.1000	0.3337	0.3255	0.3417	0.6297	46314
0.1500	0.3400	0.3320	0.3481	0.6149	46314
0.2000	0.3440	0.3360	0.3520	0.6041	46314
0.2500	0.3452	0.3372	0.3532	0.5981	46314
0.3000	0.3440	0.3359	0.3520	0.5988	46314
0.3500	0.3410	0.3329	0.3490	0.6027	46314
0.4000	0.3366	0.3285	0.3447	0.6111	46314
0.4500	0.3295	0.3213	0.3376	0.6214	46314
0.5000	0.3222	0.3140	0.3304	0.6322	46314
0.5500	0.3154	0.3072	0.3236	0.6464	46314
0.6000	0.3042	0.2959	0.3124	0.6633	46314
0.6500	0.2950	0.2867	0.3033	0.6804	46314
0.7000	0.2846	0.2763	0.2930	0.6973	46314
0.7500	0.2664	0.2579	0.2748	0.7131	46314
0.8000	0.2533	0.2448	0.2619	0.7338	46314
0.8500	0.2342	0.2255	0.2428	0.7589	46314
0.9000	0.2159	0.2072	0.2246	0.7780	46314
0.9500	0.2028	0.1941	0.2115	0.7979	46314
1.0000	0.1849	0.1761	0.1937	0.8177	46314
