phase	job_id	backend_tag	backend_name	scorer	seed	pcc	pcc_low	pcc_high	mse	n_phones	source
phase1	a1_scalar	original	original (checkpoint-8000)	scalar	501	0.3104	0.3022	0.3185	0.6871	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_original_a1_scalar.log
phase1	a2_feats	original	original (checkpoint-8000) (SVR+feats)	svr_feats	501	0.5481	0.5417	0.5543	0.2136	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_original_a2_feats.log
phase1	a3_gopt	original	original (checkpoint-8000) (GOPT)	gopt	501	0.6363	0.6309	0.6416	0.0816	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_original_a3_gopt.log
phase1	a3_gopt	original	original (checkpoint-8000) (GOPT)	gopt	502	0.6537	0.6485	0.6588	0.0789	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_original_a3_gopt.log
phase1	a3_gopt	original	original (checkpoint-8000) (GOPT)	gopt	503	0.6241	0.6185	0.6295	0.0843	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_original_a3_gopt.log
phase1	a3_gopt	original	original (checkpoint-8000) (GOPT)	gopt	504	0.6289	0.6234	0.6343	0.0833	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_original_a3_gopt.log
phase1	a3_gopt	original	original (checkpoint-8000) (GOPT)	gopt	505	0.6408	0.6355	0.6461	0.0811	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_original_a3_gopt.log
phase1	a1_scalar	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft)	scalar	501	0.3195	0.3113	0.3277	0.6655	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_xlsr_a1_scalar.log
phase1	a2_feats	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft) (SVR+feats)	svr_feats	501	0.5747	0.5686	0.5808	0.2052	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_xlsr_a2_feats.log
phase1	a3_gopt	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft) (GOPT)	gopt	501	0.6958	0.6911	0.7005	0.0694	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_xlsr_a3_gopt.log
phase1	a3_gopt	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft) (GOPT)	gopt	502	0.6655	0.6604	0.6706	0.075	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_xlsr_a3_gopt.log
phase1	a3_gopt	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft) (GOPT)	gopt	503	0.6782	0.6732	0.6831	0.0727	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_xlsr_a3_gopt.log
phase1	a3_gopt	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft) (GOPT)	gopt	504	0.682	0.6771	0.6868	0.0721	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_xlsr_a3_gopt.log
phase1	a3_gopt	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft) (GOPT)	gopt	505	0.6653	0.6602	0.6704	0.0751	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase1_xlsr_a3_gopt.log
phase2	b1_gopsf	original	original (checkpoint-8000)	scalar	501	0.3104	0.3022	0.3185	0.6871	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_original_b1_gopsf.log
phase2	b2_logit_margin	original	original (checkpoint-8000)	scalar	501	0.2206	0.212	0.2291	0.7256	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_original_b2_logit_margin.log
phase2	b3_logit_combined_a025	original	original (checkpoint-8000)	scalar	501	0.3338	0.3258	0.3418	0.6189	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_original_b3_logit_combined_a025.log
phase2	b4_logit_combined_a050	original	original (checkpoint-8000)	scalar	501	0.3022	0.294	0.3104	0.6507	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_original_b4_logit_combined_a050.log
phase2	b5_logit_combined_a075	original	original (checkpoint-8000)	scalar	501	0.2561	0.2477	0.2645	0.6894	47369	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/alpha_sweeps/2026-03-06_092428_alpha_sweep_original__checkpoint-8000/alpha_sweep.tsv
phase2	b1_gopsf	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft)	scalar	501	0.3195	0.3113	0.3277	0.6655	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_xlsr_b1_gopsf.log
phase2	b2_logit_margin	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft)	scalar	501	0.1849	0.1761	0.1937	0.8177	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_xlsr_b2_logit_margin.log
phase2	b3_logit_combined_a025	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft)	scalar	501	0.3452	0.3372	0.3532	0.5981	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_xlsr_b3_logit_combined_a025.log
phase2	b4_logit_combined_a050	xlsr	xlsr-espeak (wav2vec2-xlsr-53-espeak-cv-ft)	scalar	501	0.3222	0.314	0.3304	0.6322	46314	/home/simon/github/peacock-asr/projects/P001-gop-baselines/experiments/final/agents/phase2_xlsr_b4_logit_combined_a050.log
