backend	run	pcc	mse	log
original_gopt	r1	0.6271	0.0835	runs/2026-03-02_stochastic/original_gopt_seedless_r1.log
original_gopt	r2	0.6324	0.0820	runs/2026-03-02_stochastic/original_gopt_seedless_r2.log
original_gopt	r3	0.6314	0.0824	runs/2026-03-02_stochastic/original_gopt_seedless_r3.log
original_gopt	r4	0.6349	0.0818	runs/2026-03-02_stochastic/original_gopt_seedless_r4.log
original_gopt	r5	0.6423	0.0811	runs/2026-03-02_stochastic/original_gopt_seedless_r5.log
original_gopt	mean	0.6336	0.0822	-
original_gopt	std	0.0056	0.0009	-
xlsr_espeak_gopt	r1	0.6737	0.0735	runs/2026-03-02_stochastic/xlsr_espeak_gopt_seedless_r1.log
xlsr_espeak_gopt	r2	0.6616	0.0756	runs/2026-03-02_stochastic/xlsr_espeak_gopt_seedless_r2.log
xlsr_espeak_gopt	r3	0.6604	0.0759	runs/2026-03-02_stochastic/xlsr_espeak_gopt_seedless_r3.log
xlsr_espeak_gopt	r4	0.6662	0.0748	runs/2026-03-02_stochastic/xlsr_espeak_gopt_seedless_r4.log
xlsr_espeak_gopt	r5	0.6900	0.0705	runs/2026-03-02_stochastic/xlsr_espeak_gopt_seedless_r5.log
xlsr_espeak_gopt	mean	0.6704	0.0741	-
xlsr_espeak_gopt	std	0.0121	0.0022	-
